"subgroup","stratum","exposure","outcome","beta","se","effect","lci","uci","p","n","p_BH_subgroup"
"age_strata",">=60","se_cu_ratio","lsm8",0.253749258229327,0.0564564152070274,1.28884859556955,1.15383904707906,1.43965547578474,0.000733512476167072,2062,0.0357426297624325
"age_strata",">=60","DR1TSELE","hfs",-0.0032662905641802,0.00291991864704909,-0.0032662905641802,-0.00898933111239642,0.00245674998403602,0.285193763288223,948,0.647427837250343
"age_strata",">=60","LBXBSE","hfs",0.000855450753851479,0.00083392058894677,0.000855450753851479,-0.00077903360048419,0.00248993510818715,0.325212186344978,948,0.647427837250343
"age_strata",">=60","se_zn_ratio","hfs",-0.0015047147388216,0.00102925383482113,-0.0015047147388216,-0.00352205225507102,0.000512622777427818,0.169445093101421,948,0.562413500506845
"age_strata",">=60","se_cu_ratio","hfs",-0.00318542511217934,0.00236445235779014,-0.00318542511217934,-0.007819751733448,0.00144890150908933,0.202800201566085,948,0.57521511716926
"race_strata","Other","DR1TSELE","cap275",-0.013888096274169,0.0797322898740827,0.986207898426504,0.843526986163411,1.15302300326217,0.864049878614578,1513,0.949237894816015
"race_strata","Other","LBXBSE","cap275",0.178425424570909,0.0994945520227714,1.1953337374231,0.983552858407664,1.45271576571399,0.09310467525524,1513,0.427186157053454
"race_strata","Other","se_zn_ratio","cap275",0.0516072231344934,0.081204964956686,1.05296208213445,0.898027571267646,1.23462706701516,0.534666600769627,1513,0.765210914862953
"race_strata","Other","se_cu_ratio","cap275",0.00204628387790968,0.0593833735835844,1.00204837894555,0.891950065503869,1.12573673413006,0.972965614523146,1513,0.992043371670659
"race_strata","Other","DR1TSELE","lsm8",0.0791859854857258,0.123573175020443,1.08240561508502,0.849576373751239,1.37904248725098,0.531319840859155,1513,0.765210914862953
"race_strata","Other","LBXBSE","lsm8",-0.086985281324354,0.0995559985282194,0.91669058800529,0.754186919056119,1.11420870994311,0.396037255662931,1513,0.658221860639133
"race_strata","Other","se_zn_ratio","lsm8",-0.163351625385267,0.153918746657819,0.849292503101391,0.628114773517377,1.1483534319453,0.305350114203302,1513,0.647427837250343
"race_strata","Other","se_cu_ratio","lsm8",0.00164366455436985,0.107169440716402,1.00164501611135,0.811875367217231,1.23577186697951,0.987965412245005,1513,0.995681236745128
"race_strata","Other","DR1TSELE","hfs",1.85797791530109e-05,7.45376557433596e-05,1.85797791530109e-05,-0.000127514026103974,0.000164673584409996,0.806535289396529,732,0.925857568705764
"race_strata","Other","LBXBSE","hfs",6.73498394686773e-05,4.15543583880275e-05,6.73498394686773e-05,-1.40967029718566e-05,0.000148796381909211,0.125895232275394,732,0.499265808067198
"race_strata","Other","se_zn_ratio","hfs",4.60193796289289e-05,9.31456283131929e-05,4.60193796289289e-05,-0.000136546051864929,0.000228584811122787,0.628421369548084,732,0.790594626205654
"race_strata","Other","se_cu_ratio","hfs",5.51292560090031e-05,9.80886122132755e-05,5.51292560090031e-05,-0.000137124423929017,0.000247382935947023,0.58239382419498,732,0.789997332968071
"edu_strata",">HS","DR1TSELE","cap275",0.0341699934727505,0.0389807426370867,1.03476049430772,0.958647097328955,1.11691704232275,0.396620864744093,4912,0.658221860639133
"edu_strata",">HS","LBXBSE","cap275",0.109976932678832,0.0418242094846355,1.11625232121109,1.02839720859643,1.21161282254911,0.0208070040749007,4912,0.237396198832623
"edu_strata",">HS","se_zn_ratio","cap275",0.0489394635565183,0.0220983320237707,1.05015677605943,1.00564259258319,1.09664135393342,0.0452644705700377,4912,0.298228981982471
"edu_strata",">HS","se_cu_ratio","cap275",0.122024619025129,0.0301247626918759,1.12978191556731,1.06500562852674,1.19849805724375,0.00137471652932433,4912,0.0357426297624325
"edu_strata",">HS","DR1TSELE","lsm8",0.141066204577012,0.0986867743546591,1.15150088008995,0.94898729033128,1.39723080631045,0.176468648025754,4912,0.5735231060837
"edu_strata",">HS","LBXBSE","lsm8",-0.048527526518661,0.04518014768518,0.952631116326722,0.871899934229755,1.0408373807203,0.302315195487991,4912,0.647427837250343
