"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
130.3,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.54768507047709,0.366361463104413
141.3,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.55570738308738,0.367338358978185
153.58,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.56495153709465,0.36974530619142
166.93,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.57524532013531,0.374107966882752
190,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.59352809100792,0.385326939755219
228.59,169.08,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.62546493936107,0.411479512543475
34.7,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.35204063652751,0.39081247884779
46.5,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.36545755373768,0.382211576179303
55.4,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.3764392579606,0.377300197363729
63.1,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.38666325085369,0.373893234588837
69.1,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.39515881146322,0.37166846468481
75.3,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.40448373936479,0.369712647291523
81.6,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.41462994952343,0.368084983735614
87.6,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.42503102174702,0.366882517712106
93.2,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.43548139290043,0.366058098684193
99.6,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.44841340312114,0.365426303474297
106.2,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.46298185797631,0.365036032728784
114,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.48195739257178,0.364768821325246
121.39,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.50153306672727,0.364659003095461
130.3,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.52676977557597,0.364781403023617
141.3,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.5596497863374,0.365520077024447
153.58,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.59746435359414,0.367395346592281
166.93,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.63844093602972,0.370840640641832
190,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.70752069616125,0.379827600929145
228.59,172.268,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.81823640358047,0.401200819866825
34.7,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.20520965582456,0.387569747893967
46.5,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.22796195629872,0.379784485797117
55.4,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.24660348329089,0.375375872444588
63.1,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.26397323793522,0.372317207222925
69.1,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.27841628637569,0.370309103238938
75.3,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.29428376133339,0.368532957768671
81.6,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.31159806056835,0.367053514298661
87.6,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.32943176372514,0.365970557593621
93.2,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.34745354085722,0.365244429301708
99.6,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.36990852904579,0.364710999352272
106.2,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.39540803334049,0.364402022729357
114,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.42891609719808,0.364189808187676
121.39,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.4637246638824,0.36407722970003
130.3,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.50880178848892,0.364115180688493
141.3,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.56767894057874,0.364624411217111
153.58,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.63536840868649,0.366097089738909
166.93,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.70842549046878,0.368976741401255
190,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.83061075293532,0.376801885034986
228.59,175.581,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.02366984095247,0.396051831669668
34.7,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.0896379211691,0.387167551124452
46.5,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.12012713901074,0.379316798153567
55.4,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.14506980287082,0.374949739651013
63.1,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.16828150313506,0.37194203792744
69.1,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.18756223089492,0.369967005958548
75.3,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.20872744800424,0.368218106575238
81.6,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.23181755600297,0.366774818632331
87.6,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.25561048062453,0.365748500279073
93.2,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.27967483030001,0.365099003321482
99.6,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.30969550840488,0.364673866958283
106.2,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.3438401659336,0.364477181825249
114,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.38879128958662,0.364353925366949
121.39,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.4355536834551,0.364259173082552
130.3,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.49616273954456,0.364240351280084
141.3,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.575354894468,0.364608071436792
153.58,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.66636721477114,0.365914935287735
166.93,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.76447106493219,0.368689064359932
190,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.92815044767882,0.376565179417779
228.59,178.344,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.18564231968405,0.396464484452857
34.7,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.98368430891482,0.388332969544007
46.5,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.02178783308067,0.379928852699659
55.4,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.0528533204547,0.375343131975857
63.1,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.08168073322015,0.372217216825852
69.1,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.10557022631246,0.370170931121435
75.3,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.13174179419215,0.368363310373197
81.6,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.1602410375042,0.366893495863245
87.6,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.18956299216235,0.365888814845142
93.2,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.21918448916771,0.365303798897018
99.6,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.25610185701848,0.364992165117929
106.2,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.29805680633669,0.364924829027179
114,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.35325459662669,0.364910573202763
121.39,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.410646971561,0.364848524176136
130.3,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.48499943176047,0.364795866044519
141.3,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.58210081456964,0.365085075725305
153.58,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.69363440434833,0.366378516463906
166.93,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.81378250857543,0.369329457042046
190,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.01404758896475,0.377981426185726
228.59,181.13,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.32854148950096,0.400148379695977
34.7,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.88366939562733,0.390274742621364
46.5,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.92981037454134,0.381108179780386
55.4,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.96720374779538,0.376175440199772
63.1,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.00172863519392,0.372843797542793
69.1,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.03022065103904,0.37067344040138
75.3,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.06131928046678,0.36876583102327
81.6,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.09505376429142,0.367239650638232
87.6,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.12963246612048,0.36623732514908
93.2,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.16444672689704,0.365704929329459
99.6,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.20769454650168,0.365498651919513
106.2,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.2566860451703,0.365557144125796
114,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.32094175364818,0.365654482578513
121.39,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.38758885562808,0.365636922547581
130.3,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.47377464574237,0.365581269512956
141.3,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.58616758540887,0.365861555400552
153.58,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.71514666332815,0.367264750867278
166.93,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.85404843873804,0.370575120576253
190,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.08557042628327,0.380400534001121
228.59,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.44914808898191,0.405597312916183
34.7,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.81502208534415,0.391340923560319
46.5,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.86771153837983,0.38178939359042
55.4,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.91010262618797,0.376666818308703
63.1,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.94900051690532,0.373220151547094
69.1,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.98093600415159,0.370983675031151
75.3,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.01563138386187,0.36902776210771
81.6,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.05307689295128,0.367479054439964
87.6,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.09126110590712,0.366483981713292
93.2,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.12951892010558,0.365982247278968
99.6,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.17681363981617,0.36583144918689
106.2,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.23012456920018,0.365954982538097
114,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.29970159722544,0.366114901964799
121.39,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.37158644047718,0.366134188359404
130.3,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.46428141674107,0.366106669237167
141.3,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.58490084063983,0.366435550849913
153.58,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.72315482612429,0.367968039785224
166.93,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.87204748692888,0.371547261708244
190,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.12041670052782,0.38211846418018
228.59,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.51101442381395,0.409086228786489
34.7,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.75452553387995,0.391045478547702
46.5,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.8147143120176,0.381638445425418
55.4,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.86260009728987,0.376567339933177
63.1,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.9061163691449,0.373155082211021
69.1,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.94155152939902,0.370950283587232
75.3,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.97976113501397,0.369034457562502
81.6,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.02065347775232,0.367528446562542
87.6,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.0619852859797,0.366568416553723
93.2,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.10304589771198,0.36609019112591
99.6,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.1533651914915,0.365955220397989
106.2,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.20957364615227,0.366089055141155
114,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.28226008320335,0.366269389323363
121.39,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.3568046185185,0.366325997052394
130.3,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.45241239023032,0.366367025814249
141.3,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.57631564871862,0.36680496665027
153.58,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.71802978255624,0.368467152989506
166.93,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.87069574397863,0.372170463180588
190,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.12586258694789,0.382901091020413
228.59,190.238,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",7.52860425408217,0.410032528614212
34.7,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.71575446908385,0.389442726560407
46.5,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.78307717172269,0.380679389631429
55.4,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.835953984541,0.375900551800344
63.1,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.88346166993883,0.372676407046911
69.1,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.92176811948847,0.370602693053707
75.3,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",5.96269676926742,0.368813367448252
81.6,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.00603947272308,0.367410423662299
87.6,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.0493528670686,0.366508068173579
93.2,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.09190262045712,0.366042540494318
99.6,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.14343782832736,0.36588181289548
106.2,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.20028808049262,0.365971119388952
114,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.27285237450517,0.366129113849678
121.39,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.34648153553792,0.366219642190852
130.3,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",6.44017316123,0.366358824487524
