"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
35.19,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0011382638074348,0.00436240243474412
46.06,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00142396956414224,0.00432554464642402
54.39,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00164167559906182,0.00430048644812958
62.2,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0018446203325767,0.00427951881987822
68,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00199450232099893,0.00426555936164898
74.5,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00216159679021427,0.00425160664142179
80.9,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00232544072738363,0.00423969681600456
87.3,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00248890684189256,0.00422965674411382
93,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00263441520082423,0.00422229527920697
99,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00278774024297832,0.00421612282466867
106.5,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00297998800324066,0.00421058711375198
114.62,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00318913876203965,0.00420722581964642
121.7,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00337224274563582,0.00420655267144335
130.64,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00360421252901736,0.0042088142833746
141.7,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00389198000837971,0.00421661602802908
153.18,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00419107268288168,0.00423073065569764
165.6,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00451466882021235,0.0042528820346748
187,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0050721571465518,0.00430736384955854
223.28,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00601705782752986,0.00444426842710168
35.19,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.000997660898932231,0.00435320737796537
46.06,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00129018289361362,0.00431773314493492
54.39,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00151382218372082,0.00429366233863046
62.2,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00172300083672487,0.00427356575278574
68,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00187798938596614,0.00426021796777779
74.5,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00205131069771426,0.00424691083811829
80.9,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00222168533566912,0.00423558803583327
87.3,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00239191906177273,0.00422608125224335
93,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00254352544325974,0.00421914856271561
99,185.993,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00270321303088547,0.00421338306123347
