"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
34.7,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",265.976647499736,4.81836335426255
46.5,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.605817547963,4.60798201317204
55.4,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.798935954706,4.49999874739429
63.1,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",269.798161588163,4.4351441422604
69.1,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.5509233765,4.39909704541674
75.3,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.30192950316,4.37252687185081
81.6,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.038771487835,4.35526311969268
87.6,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.718964775116,4.34686903884836
93.2,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",273.337594581083,4.34490766520077
99.6,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",274.028971559416,4.3476642081149
106.2,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",274.728906949124,4.35332333619136
114,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",275.544735857207,4.35964818348779
121.39,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",276.303189453667,4.36386985313552
130.3,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",277.189066039409,4.36850813727016
141.3,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",278.224678745718,4.37924540938935
153.58,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",279.284544045311,4.40575060122165
166.93,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",280.298676464285,4.4563719602556
190,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",281.714778802827,4.5878100429244
228.59,184.21,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",283.280574539533,4.90280675847548
34.7,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",265.775767877717,4.84579196502832
46.5,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.631801504985,4.62456704366229
55.4,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.996221728454,4.51072673625287
63.1,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.143813981028,4.44222082953592
69.1,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.012304361873,4.40410371482001
75.3,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.882895281622,4.37602069009489
81.6,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.740447483985,4.3578563793922
87.6,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",273.533888086421,4.34918107829422
93.2,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",274.255886587252,4.34740870533811
99.6,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",275.061671788466,4.35079518047333
106.2,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",275.874301815507,4.35737796876948
114,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",276.814972777239,4.36486684844662
121.39,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",277.683573824619,4.37014904666113
130.3,186.896,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",278.693131388244,4.37610041254107
